POSTING코인노래방 카드결제 얼마부터 하시나요?	헤이나나 APP에서는 반려동물 동반 매장 10,000 여 곳이 등록되어 있습니다. 🐶 전국 점주님들의 매장을 무료로 등록해보세요! 🐶 반려동물과 동반할 수 있는 매장을 운영중이시라면 음식점, 카페, 펜션, 미용샵 등등 모두 환영합니다! 헤이나나에서 반려동물 양육자들에게 점주님들의 매장을 홍보해보세요! 😊😊 https://heynana.page.link/apsajang 지금 현재 5000원부터 카드결제 가능하게 해놨고 그 이하는 현금결제만 가능하게 해놨는데요 손님들이 2~3천원부터 카드결제 안되냐고 물어보시는경우가 많으세요.... 소액도 카드결제로 하게될경우 괜찮을까요? 어떤에러사항이 있을지 장단점 알고싶습니다ㅠㅠ
COMMENT	어차피 요율로 하는데 100원도 상관없죠
COMMENT	5000원부터 카드결제하는거 괜찮나요?저희는 3000원인데도 1000원, 2000원 계좌이체 하는거 많이 불편해하시던데..!!
COMMENT	보통3천원이상부터 하더라구요~ 2천원인곳도 많던데요?
COMMENT	코인노래방이나 게임기등에 특화된 카드기 결제가 있는데요. 금액은 카드기에 셋팅하면 되기 때문에.. 500원이든, 1,000원이든 다 되는 것으로 알고 있습니다.
COMMENT	짜피 건당 가격이아니라 가격당 퍼센트라 딱히..
COMMENT	상관은 없지만 업주입장에선 500원1000원 너무 소액이라 기존처럼 5천원이상이 업주는 유리하죠.  아마도 돈을 덜쓰고 가는경우가 많겠죠.  업주만 괜찮다면 해주셔도 됩니다.  코노가 오락실 개념이라 일반노래방과 좀 차이가 있어요.  결론은 업주마음이고 해줘도 되지만 카드결제 객단가는 떨어저서 매출에 도움은 안된다 입니다.  요즘 코노도 시간제 유도하고 객단가 높일려고 노력하던데 손님 편의만 생각하다보면  손님만 좋고 업주는 안좋아지는 방향으로 가다보면 점점 수익율이 떨어질수 밖에 없습니다.  손님도 좋고 업주도 좋은 방향으로 운영하시는게 좋은 선택입니다.
COMMENT	답변 정말 감사합니다. 코인노래방하시는 업주님이신가요? 제가 걱정하는 바를 정확히 짚어주셨어요.. 근데 다른분들 답변보니 3000원부터는 하시는것 같아서 너무 고민되네요..ㅠㅠ
COMMENT	생각이 복잡할땐 한가지만 고민하면 됩니다.  해주면 매장에 도움이 될것인가 안될것인가.(매출이 늘어날것인가?)  1번 2번 정답 찍듯이 하세요.  현명한 선택 하시길 바랍니다.
COMMENT	금액노상관입니당
COMMENT	노노금액이요
COMMENT	3천원부터는 해야 할듯요
COMMENT	주변 매장 돌아봤는데 전부 2천원부터 결제인데 저도 첨에 2천원 했더니 추가 결제는 별로 없어서 3천원으로 다 바꿨어요. 저는 3천원. 5천원. 30분. 1시간 이렇게 세팅하고 운영하고 있어요.
COMMENT	태진 기준 2000원부터 설정 가능해서 거의 모든 업장이 2000원 부터 설정 합니다 카드기 설치 이유가 매출 향상과 관리 편하기 위함인데 5000원부터면 굳이 설치 할 필요가 없죠 카드 쓰는 사람은 카드만 쓰고 현금 쓰는 사람은 현금만 씁니다
